ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_043,nametag,1,0,HS_HS,he,she,16,nametag_list6_critical03_he,Sam gave the avocado to his sister.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_HS,he,she,16,nametag_list6_critical04_he,Sam gave the pumpkin to his brother.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_HS,he,she,16,nametag_list6_critical05_he,Sam gave the bread to his sister.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_T,he,they,16,nametag_list6_critical06_he,Sam gave the corn to his brother.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_T,he,they,16,nametag_list6_critical07_he,Sam gave the kiwi to his brother.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_T,he,they,16,nametag_list6_critical08_he,Sam gave the grapes to his sister.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_T,he,they,16,nametag_list6_critical09_he,Sam gave the pear to his sister.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_T,he,they,16,nametag_list6_critical10_he,Sam gave the orange juice to his brother.,0,1,0,0,0,0,0,0,his,1
3_043,nametag,1,0,HS_HS,she,he,17,nametag_list6_critical11_she,Taylor gave the spoon to her sister.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_HS,she,he,17,nametag_list6_critical12_she,Taylor gave the broccoli to her brother.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_HS,she,he,17,nametag_list6_critical13_she,Taylor gave the egg to her brother.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_HS,she,he,17,nametag_list6_critical14_she,Taylor gave the strawberry to her sister.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_HS,she,he,17,nametag_list6_critical15_she,Taylor gave the pineapple to her brother.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_T,she,they,17,nametag_list6_critical16_she,Taylor gave the banana to her sister.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_T,she,they,17,nametag_list6_critical17_she,Taylor gave the bacon to her sister.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_T,she,they,17,nametag_list6_critical18_she,Taylor gave the icecream to her brother.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_T,she,they,17,nametag_list6_critical19_she,Taylor gave the carrot to her sister.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,HS_T,she,they,17,nametag_list6_critical20_she,Taylor gave the lemon to her brother.,0,0,0,1,0,0,0,0,her,1
3_043,nametag,1,0,T_HS,they,she,18,nametag_list6_critical21_they,Jordan gave the pizza to their brother.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,she,18,nametag_list6_critical22_they,Jordan gave the dish to their sister.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,she,18,nametag_list6_critical23_they,Jordan gave the orange to their sister.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,she,18,nametag_list6_critical24_they,Jordan gave the potato to their brother.,0,0,0,0,0,1,0,0,their,1
3_043,nametag,1,0,T_HS,they,she,18,nametag_list6_critical25_they,Jordan gave the apple to their sister.,0,0,0,0,0,1,0,0,their,1
