SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1B_004,18,male,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,job,engineer,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,pet,dog,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Michael,he/him,cat,sales,pronoun,he/him,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Michael,he/him,cat,sales,,,,he decided to prepare food for dinner.,he/him,1,
1B_004,18,male,"native (learned from birth)",3,memory,James,he/him,dog,nurse,job,nurse,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,James,he/him,dog,nurse,pet,fish,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,James,he/him,dog,nurse,pronoun,they/them,0,,,,
1B_004,18,male,"native (learned from birth)",3,production,James,he/him,dog,nurse,,,,they got ready to sleep.,they/them,0,
1B_004,18,male,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,job,accountant,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pet,cat,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pronoun,she/her,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Jessica,she/her,fish,teacher,,,,she began to think of ideas of activities for the next day.,she/her,1,
1B_005,20,male,"native (learned from birth)",1,memory,Brian,he/him,fish,accountant,job,janitor,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Brian,he/him,fish,accountant,pet,fish,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Brian,he/him,fish,accountant,pronoun,he/him,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Brian,he/him,fish,accountant,,,,he made dinner.,he/him,1,
1B_005,20,male,"native (learned from birth)",1,memory,Kevin,they/them,dog,doctor,job,doctor,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Kevin,they/them,dog,doctor,pet,dog,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Kevin,they/them,dog,doctor,pronoun,they/them,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Kevin,they/them,dog,doctor,,,,they made dinner.,they/them,1,
1B_005,20,male,"native (learned from birth)",1,memory,Daniel,he/him,cat,retail,job,sales,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Daniel,he/him,cat,retail,pet,fish,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Daniel,he/him,cat,retail,pronoun,he/him,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Daniel,he/him,cat,retail,,,,they made dinner,they/them,0,
1B_005,20,male,"native (learned from birth)",1,memory,Laura,she/her,cat,mechanic,job,IT,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Laura,she/her,cat,mechanic,pet,cat,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Laura,she/her,cat,mechanic,pronoun,she/her,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Laura,she/her,cat,mechanic,,,,they made dinner.,they/them,0,
1B_005,20,male,"native (learned from birth)",1,memory,Melissa,they/them,fish,IT,job,nurse,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Melissa,they/them,fish,IT,pet,fish,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Melissa,they/them,fish,IT,pronoun,she/her,0,,,,
1B_005,20,male,"native (learned from birth)",1,production,Melissa,they/them,fish,IT,,,,they made dinner.,they/them,1,
1B_005,20,male,"native (learned from birth)",1,introduction,Melissa,they/them,fish,IT,,,,,,,This is Melissa she has a fish and works in retail.
1B_005,20,male,"native (learned from birth)",1,memory,Stephanie,they/them,cat,nurse,job,janitor,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Stephanie,they/them,cat,nurse,pet,dog,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Stephanie,they/them,cat,nurse,pronoun,she/her,0,,,,
1B_005,20,male,"native (learned from birth)",1,production,Stephanie,they/them,cat,nurse,,,,she made dinner.,she/her,0,
1B_005,20,male,"native (learned from birth)",1,memory,Andrew,he/him,dog,teacher,job,teacher,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Andrew,he/him,dog,teacher,pet,cat,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Andrew,he/him,dog,teacher,pronoun,he/him,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Andrew,he/him,dog,teacher,,,,he made dinner.,he/him,1,
1B_005,20,male,"native (learned from birth)",1,introduction,Andrew,he/him,dog,teacher,,,,,,,This is Andrew. He has a fish and is a teacher. 
1B_005,20,male,"native (learned from birth)",1,memory,Emily,she/her,dog,uber,job,retail,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Emily,she/her,dog,uber,pet,fish,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Emily,she/her,dog,uber,pronoun,they/them,0,,,,
1B_005,20,male,"native (learned from birth)",1,production,Emily,she/her,dog,uber,,,,she made dinner.,she/her,1,
1B_005,20,male,"native (learned from birth)",1,memory,Amanda,she/her,cat,engineer,job,engineer,1,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Amanda,she/her,cat,engineer,pet,dog,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Amanda,she/her,cat,engineer,pronoun,she/her,1,,,,
1B_005,20,male,"native (learned from birth)",1,production,Amanda,she/her,cat,engineer,,,,she made dinner.,she/her,1,
1B_005,20,male,"native (learned from birth)",1,introduction,Amanda,she/her,cat,engineer,,,,,,,This is Amanda she has a dog and is a nurse.
1B_005,20,male,"native (learned from birth)",1,memory,Michael,they/them,fish,sales,job,Uber driver,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Michael,they/them,fish,sales,pet,dog,0,,,,
1B_005,20,male,"native (learned from birth)",1,memory,Michael,they/them,fish,sales,pronoun,he/him,0,,,,
1B_005,20,male,"native (learned from birth)",1,production,Michael,they/them,fish,sales,,,,he made dinner.,he/him,0,
1B_005,20,male,"native (learned from birth)",1,memory,James,he/him,dog,janitor,job,food service,0,,,,
